"FFMC","s(FFMC)"
79.6,0.0970322285344263
79.7,0.102714257690669
79.8,0.10841766165582
79.9,0.114142355511263
80,0.119888254338381
80.1,0.125655273218559
80.2,0.131443327233179
80.3,0.137252331463627
80.4,0.143082200991284
80.5,0.148932850897534
80.6,0.154804196263762
80.7,0.160696152171351
80.8,0.166608633701684
80.9,0.172541555936144
81,0.178494833956116
81.1,0.184468382842984
81.2,0.190462117678129
81.3,0.196475953542938
81.4,0.202509805518791
81.5,0.208563588687075
81.6,0.214637218129171
81.7,0.220730608926463
81.8,0.226843676160337
81.9,0.232976334912173
82,0.239128500263357
82.1,0.245300087295272
82.2,0.251491011089301
82.3,0.257701186726829
82.4,0.263930529289237
82.5,0.270178953857911
82.6,0.276446375514234
82.7,0.282732709339589
82.8,0.28903787041536
82.9,0.295361773822931
83,0.301704334643684
83.1,0.308065467959005
83.2,0.314445088850275
83.3,0.320843112398881
83.4,0.327259453686202
83.5,0.333694027793625
83.6,0.340146749802532
83.7,0.346617534794308
83.8,0.353106297850336
83.9,0.359612954051998
84,0.366137418480679
84.1,0.372679606217764
84.2,0.379239432344634
84.3,0.385816811942674
84.4,0.392411660093266
84.5,0.399023891877796
84.6,0.405653422377647
84.7,0.4123001666742
84.8,0.418964039848843
84.9,0.425644956982955
85,0.432342833157923
85.1,0.439057583455129
85.2,0.445789122955956
